PREFIXO: ;3D-009
NOME DO POSTO: ;BUENOPOLIS
MUNICÍPIO: ;MORUNGABA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.950,00
LATITUDE: ;22°51'02"
LONGITUDE: ;46°46'47"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  12/1933;18,445;17,831;16,633;16,341;15,197;14,641;16,633;19,706;22,700;26,654;31,339;32,158;37,297;47,232;48,241;46,732;34,252;33,406;32,158;28,173;24,457;23,746;25,544;28,173;44,758;52,386;44,758;37,297;30,532;27,408;26,654;14,641;29,725;52,386
  01/1934;44,271;65,278;91,170;99,801;94,003;70,103;52,916;44,271;40,013;39,097;37,743;34,679;35,976;39,097;43,787;48,749;53,449;55,609;55,065;57,258;49,775;49,775;48,749;46,732;41,878;41,878;42,827;41,878;40,476;39,097;42,827;34,679;51,233;99,801
  02/1934;40,476;37,297;39,097;36,854;33,406;29,340;28,173;26,654;26,654;28,173;36,414;40,013;32,988;33,828;32,571;33,828;38,192;51,858;78,320;72,582;57,813;47,735;43,306;42,827;48,749;55,065;57,258;52,916;---;---;---;26,654;42,228;78,320
  03/1934;46,234;42,827;51,858;51,858;48,749;46,234;42,827;42,827;38,192;36,414;33,828;32,158;31,339;31,747;30,934;30,532;30,532;33,828;34,679;32,988;33,828;37,297;35,109;30,532;28,948;29,735;29,340;27,030;26,654;25,911;27,408;25,911;35,561;51,858
  04/1934;30,532;30,132;26,654;27,408;25,911;27,408;25,911;24,457;23,046;23,046;22,700;23,046;23,046;24,100;24,457;24,457;24,457;23,046;22,357;21,678;21,678;23,046;24,457;28,948;27,030;25,179;25,179;24,100;23,046;23,046;---;21,678;24,785;30,532
  05/1934;23,395;24,457;23,395;22,357;21,678;20,353;20,028;20,353;19,706;19,706;19,387;19,070;19,070;19,070;19,070;18,756;18,756;18,445;18,445;18,137;17,831;17,831;17,831;17,527;17,527;17,227;17,227;16,929;16,929;16,929;16,633;16,633;19,163;24,457
  06/1934;16,633;16,341;16,051;16,051;16,051;16,633;19,070;20,353;21,010;20,353;19,070;19,706;20,353;19,070;17,831;17,227;16,633;16,633;16,633;16,341;16,341;16,051;16,051;16,051;15,764;15,764;15,479;15,479;15,479;15,479;---;15,479;17,199;21,010
  07/1934;15,764;15,197;15,197;15,197;15,197;14,918;14,918;14,918;14,641;14,641;14,918;14,641;14,641;14,641;14,641;14,641;14,367;14,367;14,096;13,827;13,827;13,561;13,561;13,561;13,561;13,297;13,036;13,036;13,036;13,036;13,036;13,036;14,255;15,764
  08/1934;13,036;12,778;12,778;12,778;12,778;12,523;12,523;12,270;12,020;12,020;11,772;11,772;11,772;11,772;11,772;11,772;11,772;11,772;12,778;13,827;13,561;13,297;13,297;12,778;12,523;12,270;11,772;11,527;11,527;11,527;11,285;11,285;12,311;13,827
  09/1934;11,285;11,045;11,045;11,285;11,285;11,045;10,808;10,808;10,808;10,808;10,574;10,808;11,772;12,778;13,036;13,036;16,929;19,706;21,010;20,353;20,680;20,353;19,070;17,831;14,918;14,918;16,341;16,929;17,227;15,479;---;10,574;14,466;21,010
