PREFIXO: ;3D-002
NOME DO POSTO: ;MONTE ALEGRE DO SUL
MUNICÍPIO: ;MONTE ALEGRE DO SUL
CURSO D'ÁGUA: ;CAMANDUCAIA,R/CAMAND.OU DA GUARDINHA,R/GUARDINHA,R DA
ÁREA (Km²): ;387,00
LATITUDE: ;22°41'44"
LONGITUDE: ;46°40'25"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  04/1948;10,041;9,934;9,827;10,911;10,257;9,508;9,192;9,087;8,982;8,774;8,465;8,260;8,159;8,159;8,057;7,956;7,855;7,956;8,159;8,260;7,956;7,855;7,855;7,755;7,655;7,555;7,456;7,357;7,258;7,160;---;7,160;8,455;10,911
  05/1948;7,160;7,160;7,062;6,965;6,965;6,867;6,867;6,867;6,771;6,771;6,674;6,578;6,578;6,482;6,387;6,292;6,674;9,720;9,192;9,614;8,568;7,655;7,062;6,867;6,771;6,674;6,578;6,482;6,482;6,482;6,387;6,292;7,086;9,720
  06/1948;6,387;6,578;6,482;6,482;6,292;6,292;6,103;6,010;6,010;5,916;5,823;5,731;5,639;5,547;5,547;5,547;5,456;5,456;5,456;5,639;5,639;5,639;5,639;5,547;5,547;5,547;5,456;5,456;5,365;5,365;---;5,365;5,786;6,578
  07/1948;5,365;5,365;5,365;5,547;5,547;5,456;5,365;5,274;5,184;5,184;5,094;5,005;4,916;4,916;4,916;4,828;4,828;4,740;4,740;4,652;4,740;4,652;4,652;4,740;5,005;4,740;4,740;6,103;7,160;6,387;5,731;4,652;5,192;7,160
  08/1948;5,456;5,274;4,916;4,652;4,565;4,392;4,392;4,565;4,565;4,392;4,307;5,365;5,456;5,274;5,094;5,094;4,916;4,828;4,740;4,652;4,565;4,565;4,479;4,479;4,479;4,392;4,307;4,307;4,307;4,221;4,221;4,221;4,684;5,456
  09/1948;4,221;4,137;4,137;4,137;4,052;4,052;4,052;4,052;3,968;3,968;3,968;4,307;4,565;4,392;4,392;4,307;4,221;4,221;4,137;4,137;4,052;4,052;4,052;3,968;3,968;3,885;3,802;3,802;3,720;3,802;---;3,720;4,084;4,565
  10/1948;3,802;3,885;3,885;4,392;4,565;4,740;5,005;4,828;4,565;4,392;4,392;4,916;5,184;4,916;4,479;4,221;4,052;3,802;3,720;3,720;3,638;3,638;3,556;3,556;3,556;3,475;3,475;3,556;3,638;3,638;3,556;3,475;4,088;5,184
  11/1948;3,968;7,160;5,456;4,479;4,307;4,221;4,740;4,916;4,479;6,387;5,094;5,639;5,094;4,652;3,885;3,638;3,802;3,968;3,802;3,720;3,720;3,720;3,638;3,556;3,395;3,475;3,556;3,395;3,395;3,315;---;3,315;4,286;7,160
  12/1948;3,315;3,395;3,638;4,652;4,916;4,828;3,968;3,720;3,802;3,720;3,720;3,638;3,638;3,556;3,556;3,638;4,740;8,363;13,866;11,576;9,297;7,062;5,456;4,652;5,005;4,828;4,565;4,137;3,802;3,638;4,479;3,315;5,070;13,866
  01/1949;4,479;4,137;3,802;3,556;3,395;3,235;3,235;3,395;3,885;4,828;6,198;7,655;17,750;25,915;25,915;20,054;14,456;12,592;17,251;17,500;12,138;10,583;8,159;7,258;7,357;8,568;9,934;11,800;10,801;8,671;9,934;3,235;9,950;25,915
  02/1949;9,934;11,131;8,260;8,260;7,258;8,057;14,812;31,238;39,401;31,951;20,054;14,456;11,912;10,583;9,720;9,614;15,654;15,776;14,101;12,478;11,353;12,138;18,420;16,386;12,822;11,353;10,474;10,041;---;---;---;7,258;14,558;39,401
  03/1949;8,774;9,087;8,568;8,159;8,159;7,956;8,568;12,936;14,456;12,251;11,131;9,720;8,363;7,956;7,160;6,965;6,965;6,771;6,674;6,578;6,387;6,387;6,387;7,755;7,456;7,258;11,242;10,365;10,041;10,149;9,192;6,387;8,704;14,456
  04/1949;7,956;8,774;8,774;10,149;9,508;9,402;9,827;7,755;7,160;7,062;6,965;6,674;6,674;6,482;6,387;6,292;6,198;6,103;6,010;5,916;5,916;6,010;6,387;7,160;10,041;10,257;8,057;6,965;6,674;6,292;---;5,916;7,461;10,257
  05/1949;6,198;6,103;6,010;6,010;6,387;6,103;6,010;6,010;5,823;5,823;6,674;7,357;7,062;6,867;6,482;6,103;5,639;5,547;5,456;5,456;5,365;5,365;5,274;5,274;5,274;5,184;5,094;5,094;5,094;5,094;5,005;5,005;5,814;7,357
  06/1949;5,005;5,005;5,005;4,916;4,916;5,823;5,639;5,547;5,184;5,094;5,094;5,823;5,916;5,823;5,916;6,867;7,062;6,387;5,639;5,274;5,274;5,184;5,184;5,184;5,184;5,094;5,094;5,005;5,005;4,916;---;4,916;5,435;7,062
  07/1949;4,916;4,916;4,828;4,828;4,828;4,740;4,740;4,740;4,652;4,652;4,565;4,565;4,565;4,479;4,479;4,479;4,479;4,392;4,392;4,307;4,307;4,307;4,221;4,221;4,137;4,137;4,137;4,052;4,052;4,052;3,968;3,968;4,456;4,916
  08/1949;3,968;3,885;3,885;3,885;3,802;3,802;3,720;3,720;3,720;3,638;3,638;3,638;3,638;3,638;3,638;3,638;3,638;3,556;3,556;3,556;3,556;3,638;3,556;3,720;3,556;3,556;3,556;3,475;3,475;3,475;3,475;3,475;3,652;3,968
  09/1949;3,802;3,638;3,556;3,556;3,475;3,395;3,556;3,475;3,475;3,395;3,395;3,315;3,315;3,315;3,315;3,315;3,315;3,315;3,235;3,235;3,235;3,157;3,157;3,078;3,078;3,078;3,000;3,000;2,923;2,846;---;2,846;3,298;3,802
  10/1949;2,846;2,846;2,846;2,846;2,923;2,923;3,968;4,137;3,802;3,475;3,315;3,395;3,968;3,638;3,395;3,315;3,556;3,638;3,968;3,802;3,638;3,475;3,395;3,235;3,157;3,968;3,802;3,556;3,475;3,395;3,315;2,846;3,452;4,137
  11/1949;3,235;3,157;3,000;2,846;2,770;4,479;6,482;5,639;5,823;13,749;8,982;6,867;5,094;4,307;3,968;3,638;3,475;3,315;3,556;3,638;4,221;3,720;3,720;3,638;3,556;3,395;3,395;3,157;3,078;2,923;---;2,770;4,427;13,749
  12/1949;2,923;6,198;13,515;10,474;7,357;6,578;6,578;11,688;11,242;10,041;7,956;7,456;14,101;13,749;16,019;21,429;23,954;19,603;14,456;10,801;8,568;7,855;14,101;17,876;15,052;14,574;20,054;15,292;12,365;10,583;9,087;2,923;12,307;23,954
  01/1950;8,260;7,357;7,160;7,855;7,160;7,456;11,576;10,474;9,402;8,159;7,755;7,956;14,219;15,052;12,365;10,257;9,827;8,671;10,257;15,413;18,860;15,292;26,414;36,165;31,772;27,762;28,617;28,961;25,584;20,661;17,500;7,160;15,297;36,165
  02/1950;16,263;19,454;20,205;23,313;19,305;17,750;17,002;18,713;26,081;30,707;38,056;42,737;28,103;21,429;18,860;22,995;21,429;22,678;20,205;17,126;22,207;26,581;28,961;29,830;26,247;21,583;17,375;15,897;---;---;---;15,897;23,253;42,737
  03/1950;15,533;15,413;15,654;14,219;13,283;15,172;17,002;17,126;19,305;22,207;19,156;20,508;21,739;20,661;16,755;15,292;21,429;19,753;23,154;31,594;28,617;26,081;22,207;18,713;16,879;15,654;15,052;14,574;14,337;14,101;13,399;13,283;18,534;31,594
